iter	Passed	Remaining
883	4061	532
884	4065	528
885	4069	523
886	4074	519
887	4078	514
888	4082	509
889	4087	505
890	4091	500
891	4095	495
892	4100	491
893	4104	486
894	4109	482
895	4113	477
896	4117	472
897	4122	468
898	4126	463
899	4131	459
900	4135	454
901	4139	449
902	4144	445
903	4148	440
904	4152	435
905	4157	431
906	4161	426
907	4165	422
908	4169	417
909	4174	412
910	4178	408
911	4182	403
912	4187	398
913	4191	394
914	4195	389
915	4199	385
916	4204	380
917	4208	375
918	4212	371
919	4217	366
920	4222	362
921	4226	357
922	4230	352
923	4234	348
924	4238	343
925	4243	339
926	4247	334
927	4251	329
928	4256	325
929	4260	320
930	4264	316
931	4269	311
932	4273	306
933	4277	302
934	4281	297
935	4286	293
936	4290	288
937	4295	283
938	4299	279
939	4303	274
940	4308	270
941	4312	265
942	4316	260
943	4320	256
944	4325	251
945	4329	247
946	4333	242
947	4338	237
948	4342	233
949	4346	228
950	4350	224
951	4355	219
952	4359	215
953	4363	210
954	4367	205
955	4372	201
956	4376	196
957	4380	192
958	4385	187
959	4389	182
960	4393	178
961	4397	173
962	4401	169
963	4406	164
964	4410	159
965	4414	155
966	4419	150
967	4423	146
968	4427	141
969	4431	137
970	4436	132
971	4440	127
972	4445	123
973	4449	118
974	4454	114
975	4458	109
976	4461	105
977	4465	100
978	4469	95
979	4473	91
980	4477	86
981	4481	82
982	4485	77
983	4489	73
984	4493	68
985	4497	63
986	4501	59
987	4505	54
988	4509	50
989	4514	45
990	4517	41
991	4522	36
992	4526	31
993	4530	27
994	4534	22
995	4538	18
996	4543	13
997	4547	9
998	4551	4
999	4555	0
